INFO  - 2014-04-29 23:10:06.490; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2014-04-29 23:10:06.491; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2014-04-29 23:10:06.493; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-04-29 23:10:06.497; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/dist/solr-velocity-4.8.0.jar' to classloader
INFO  - 2014-04-29 23:10:07.147; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-04-29 23:10:07.174; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_48
INFO  - 2014-04-29 23:10:07.747; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-04-29 23:10:07.774; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-04-29 23:10:08.104; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
WARN  - 2014-04-29 23:10:08.503; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.IntField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-04-29 23:10:08.521; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.LongField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-04-29 23:10:08.539; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.FloatField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-04-29 23:10:08.561; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.DoubleField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-04-29 23:10:08.579; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.DateField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-04-29 23:10:10.415; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.ThaiWordFilterFactory]. Please consult documentation how to replace it accordingly.
INFO  - 2014-04-29 23:10:10.562; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-04-29 23:10:10.619; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2014-04-29 23:10:10.622; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2014-04-29 23:10:10.925; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-04-29 23:10:10.960; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-04-29 23:10:11.431; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /home/lolz/Documents/solr-4.8.0/example/solr/collection1/
INFO  - 2014-04-29 23:10:11.490; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-04-29 23:10:11.519; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/lolz/Documents/solr-4.8.0/example/solr/collection1/, dataDir=/home/lolz/Documents/solr-4.8.0/example/solr/collection1/data/
INFO  - 2014-04-29 23:10:11.524; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-04-29 23:10:11.540; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-04-29 23:10:11.541; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-04-29 23:10:11.593; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/lolz/Documents/solr-4.8.0/example/solr/collection1/data
INFO  - 2014-04-29 23:10:11.601; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/lolz/Documents/solr-4.8.0/example/solr/collection1/data/index/
WARN  - 2014-04-29 23:10:11.602; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/home/lolz/Documents/solr-4.8.0/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2014-04-29 23:10:11.634; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/lolz/Documents/solr-4.8.0/example/solr/collection1/data/index
INFO  - 2014-04-29 23:10:11.825; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/lolz/Documents/solr-4.8.0/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/lolz/Documents/solr-4.8.0/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-04-29 23:10:11.828; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-04-29 23:10:11.841; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-04-29 23:10:11.842; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-04-29 23:10:11.844; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-04-29 23:10:11.858; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-04-29 23:10:11.859; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-04-29 23:10:12.240; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-04-29 23:10:12.281; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-04-29 23:10:12.282; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-04-29 23:10:12.290; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-04-29 23:10:12.291; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2014-04-29 23:10:12.304; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-04-29 23:10:12.305; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2014-04-29 23:10:12.306; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
INFO  - 2014-04-29 23:10:12.307; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-04-29 23:10:12.310; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-04-29 23:10:12.310; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-04-29 23:10:12.311; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-04-29 23:10:12.312; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-04-29 23:10:12.313; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-04-29 23:10:12.322; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-04-29 23:10:12.331; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-04-29 23:10:12.340; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-04-29 23:10:12.383; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-04-29 23:10:12.384; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-04-29 23:10:12.385; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-04-29 23:10:12.386; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-04-29 23:10:12.386; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2014-04-29 23:10:12.387; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-04-29 23:10:12.388; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-04-29 23:10:12.389; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-04-29 23:10:12.389; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-04-29 23:10:12.390; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-04-29 23:10:12.390; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-04-29 23:10:12.450; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-04-29 23:10:12.458; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-04-29 23:10:12.462; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-04-29 23:10:12.525; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-04-29 23:10:12.526; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-04-29 23:10:12.546; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/lolz/Documents/solr-4.8.0/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/lolz/Documents/solr-4.8.0/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-04-29 23:10:12.547; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-04-29 23:10:12.579; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@243f01d4[collection1] main
INFO  - 2014-04-29 23:10:12.605; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /home/lolz/Documents/solr-4.8.0/example/solr/collection1/conf
INFO  - 2014-04-29 23:10:12.606; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/home/lolz/Documents/solr-4.8.0/example/solr/collection1/conf/}
INFO  - 2014-04-29 23:10:12.612; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/home/lolz/Documents/solr-4.8.0/example/solr/collection1/conf
WARN  - 2014-04-29 23:10:12.614; org.apache.solr.rest.ManagedResource; No stored data found for /rest/managed
WARN  - 2014-04-29 23:10:12.614; org.apache.solr.rest.ManagedResource; No registered observers for /rest/managed
INFO  - 2014-04-29 23:10:12.615; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2014-04-29 23:10:12.617; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/home/lolz/Documents/solr-4.8.0/example/solr/collection1/conf
INFO  - 2014-04-29 23:10:12.641; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/home/lolz/Documents/solr-4.8.0/example/solr/collection1/conf
INFO  - 2014-04-29 23:10:12.642; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2014-04-29 23:10:12.644; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2014-04-29 23:10:12.645; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2014-04-29 23:10:12.647; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/home/lolz/Documents/solr-4.8.0/example/solr/collection1/conf
INFO  - 2014-04-29 23:10:12.649; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/home/lolz/Documents/solr-4.8.0/example/solr/collection1/conf
INFO  - 2014-04-29 23:10:12.650; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2014-04-29 23:10:12.651; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2014-04-29 23:10:12.661; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2014-04-29 23:10:12.662; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-04-29 23:10:12.692; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-04-29 23:10:12.722; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-04-29 23:10:12.727; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2014-04-29 23:10:12.732; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-04-29 23:10:12.801; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-04-29 23:10:12.807; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /home/lolz/Documents/solr-4.8.0/example/solr/collection1/conf/elevate.xml
INFO  - 2014-04-29 23:10:12.932; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
